vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
83,16,16554,11.0,16562,"הצעת חוק הרשות למלחמה בסמים, התשס""ד-2003 ",102,אישור החוק,2003-11-03T00:00:00,17:24,1,1,1,19,0,0,1,63,5,4,LAN_KNESSET\ARCV_IRINE,,,,
179,16,17227,3.0,17246,"הצעת חוק העונשין  (תיקון מס` 77), התשס""ד-2003 ",102,אישור החוק,2003-11-17T00:00:00,17:04,1,1,1,15,0,2,1,70,12,4,LAN_KNESSET\ARCV_IRINE,,,,
184,16,17227,4.0,17245,"הצעת חוק קריאת שמות של מקומות ציבוריים ושינוים (תיקוני חקיקה), התשס""ד-2003 ",102,אישור החוק,2003-11-17T00:00:00,17:17,1,1,1,21,0,0,1,70,17,4,LAN_KNESSET\ARCV_IRINE,,,,
324,16,18583,6.0,18586,"הצעת חוק להסדרת סמכות לכבילת עצור או אסיר במקום ציבורי (תיקוני חקיקה), התשס""ד-2003 ",102,אישור החוק,2003-12-08T00:00:00,20:08,1,1,1,16,0,0,1,79,10,4,LAN_KNESSET\ARCV_IRINE,,,,
326,16,18583,7.0,18587,"הצעת חוק חינוך ממלכתי (תיקון מס` 6), התשס""ד-2003 ",102,אישור החוק,2003-12-08T00:00:00,20:18,1,1,1,7,0,0,1,79,12,4,LAN_KNESSET\ARCV_IRINE,,,,
383,16,19087,12.0,19100,"הצעת חוק הרשויות המקומיות (מימון בחירות)(הוראת שעה מס` 2), התשס""ד-2003 ",102,אישור החוק,2003-12-15T00:00:00,20:09,1,1,1,12,0,1,1,82,10,4,LAN_KNESSET\ARCV_IRINE,,,,
393,16,19088,6.0,19280,"הצעת חוק החברות (תיקון מס` 2), התשס""ד-2003",102,אישור החוק,2003-12-16T00:00:00,17:28,1,1,1,10,0,3,1,83,6,4,LAN_KNESSET\ARCV_IRINE,,,,
430,16,19500,4.0,18585,"הצעת חוק שידורי טלוויזיה מהכנסת, התשס""ד-2003 ",102,אישור החוק,2003-12-22T00:00:00,15:14,1,1,0,15,61,12,1,85,7,4,LAN_KNESSET\ARCV_IRINE,,,,
431,16,19500,4.0,18585,"הצעת חוק שידורי טלוויזיה מהכנסת, התשס""ד-2003 ",102,אישור החוק,2003-12-22T00:00:00,15:16,1,1,1,44,31,9,1,85,8,4,LAN_KNESSET\ARCV_IRINE,,,,
433,16,19500,4.0,18585,"הצעת חוק שידורי טלוויזיה מהכנסת, התשס""ד-2003 ",102,אישור החוק,2003-12-22T00:00:00,15:18,1,1,1,53,27,10,1,85,10,4,LAN_KNESSET\ARCV_IRINE,,,,
