vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
31938,22,2084298,12,2083334,"חוק יסודות התקציב (תיקון מס` 52 - הוראת שעה), התש""ף-2019",102,אישור החוק,2019-12-09T00:00:00,17:59,1,1,1,13,0,2,1,22,3,4,Unknown,,https://fs.knesset.gov.il//22/law/22_lsr_565313.pdf,2111,ועדת הכספים
31956,22,2084300,7,2084458,"חוק התפזרות הכנסת העשרים ושתיים והקדמת הבחירות, התש""ף?2019",102,אישור החוק,2019-12-12T00:00:00,03:17,1,1,1,94,0,0,1,24,13,4,Unknown,,https://fs.knesset.gov.il//22/law/22_lsr_566889.pdf,2132,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ושתיים
31964,22,2084300,8,2084459,"חוק הבחירות לכנסת העשרים ושלוש (הוראות מיוחדות), התש""ף?2019",102,אישור החוק,2019-12-12T00:00:00,03:29,1,1,1,95,7,0,1,24,21,4,Unknown,,https://fs.knesset.gov.il//22/law/22_lsr_566892.pdf,2132,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ושתיים
