vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
11715,18,322552,6,322765,"חוק הכנסת (מספר הסגנים ליושב ראש הכנסת בתקופת כהונתה של הכנסת השמונה-עשרה), התשס""ט-2009",102,אישור החוק,2009-05-06T00:00:00,14:59,1,1,1,51,6,1,1,18,7,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301025.pdf,652.0,ועדת הכנסת
11776,18,323653,9,323610,"חוק שהייה שלא כדין (איסור סיוע) (הוראות שעה) (תיקון מס` 12), התשס""ט-2009",102,אישור החוק,2009-05-20T00:00:00,14:42,1,1,1,53,8,0,1,24,19,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301041.pdf,656.0,ועדת הפנים ואיכות הסביבה
11837,18,324745,7,310514,"חוק שיפוט בענייני תעבורה (תשריר - הוראת שעה), התשס""ט-2009",102,אישור החוק,2009-06-01T00:00:00,18:39,1,1,1,68,1,0,1,28,5,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_300930.pdf,657.0,"ועדת החוקה, חוק ומשפט"
11883,18,325099,2,312253,"חוק העסקת עובדים על ידי קבלני כוח אדם (תיקון מס` 5), התשס""ט-2009",102,אישור החוק,2009-06-08T00:00:00,18:06,1,1,1,96,7,1,1,31,4,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_300936.pdf,660.0,"ועדת העבודה, הרווחה והבריאות"
11928,18,325564,11,324824,"חוק לתשלום חלקי של דמי הבראה בשירות הציבורי בשנים 2009 ו-2010 (הוראת שעה), התשס""ט-2009",102,אישור החוק,2009-06-16T00:00:00,18:46,1,1,1,35,0,0,1,35,4,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301051.pdf,653.0,ועדת הכספים
11936,18,325566,7,325305,"חוק הרשויות המקומיות (אכיפה סביבתית - סמכויות פקחים)(תיקון מס` 2), התשס""ט-2009",102,אישור החוק,2009-06-17T00:00:00,12:08,1,1,1,12,0,0,1,36,7,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301058.pdf,656.0,ועדת הפנים ואיכות הסביבה
11954,18,325963,11,325198,"חוק לשכת עורכי הדין (תיקון מס` 32)(תיקון), התשס""ט-2009 ",102,אישור החוק,2009-06-22T00:00:00,18:59,1,1,1,42,1,0,1,38,12,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301056.pdf,657.0,"ועדת החוקה, חוק ומשפט"
11967,18,325964,21,326342,"הצעת חוק ביטוח בריאות ממלכתי (תיקון מס` 44), התשס""ט - 2009 (מ436)",102,אישור החוק,2009-06-23T00:00:00,17:27,1,1,1,8,0,0,1,39,7,4,Unknown,,,,
12043,18,326799,4,326673,"חוק התקשורת (המשך שידורי חדשות מקומיות בטלוויזיה)(תיקוני חקיקה)(הוראות שעה)(תיקון מס` 2)התשס""ט-2009   ",102,אישור החוק,2009-07-06T00:00:00,18:43,1,1,1,69,0,0,1,44,4,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301082.pdf,654.0,ועדת הכלכלה
12056,18,326801,5,323609,"חוק פיקוח אלקטרוני על משוחררים בערובה ומשוחררים על-תנאי ממאסר(הוראת שעה), התשס""ט-2009",102,אישור החוק,2009-07-08T00:00:00,12:04,1,1,1,67,4,0,1,46,2,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301040.pdf,669.0,הוועדה המשותפת לוועדת המדע ולוועדת הפנים לדיון בהצעת חוק בתי סוהר
12104,18,327335,9,326258,"חוק לתיקון פקודת מס הכנסה (מס` 170), התשס""ט-2009",102,אישור החוק,2009-07-13T00:00:00,14:33,1,1,1,62,1,24,1,47,5,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301069.pdf,653.0,ועדת הכספים
12398,18,327335,7,325830,"חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו-2010), התשס""ט-2009",102,אישור החוק,2009-07-14T00:00:00,18:39,1,1,1,63,45,0,1,47,298,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301061.pdf,652.0,ועדת הכנסת
12471,18,327602,1,327603,"הצעת חוק תקציב המדינה לשנים 2009 ו-2010, התשס""ט-2009 ",102,אישור החוק,2009-07-15T00:00:00,20:46,1,1,1,58,36,0,1,48,70,4,Unknown,,,,
12487,18,327680,3,257590,"חוק השיפוט הצבאי (תיקון מס` 59), התשס""ט-2009",102,אישור החוק,2009-07-20T00:00:00,17:57,1,1,1,57,0,0,1,49,4,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_300796.pdf,655.0,ועדת החוץ והביטחון
12489,18,327680,5,323607,"חוק שירות ביטחון (תיקון מס` 7 והוראת שעה) (שירות במשטרה ושירות מוכר) (תיקון מס` 10), התשס""ט-2009",102,אישור החוק,2009-07-20T00:00:00,18:02,1,1,1,51,0,0,1,49,6,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_301038.pdf,655.0,ועדת החוץ והביטחון
12491,18,327680,7,295773,"חוק ניירות ערך (תיקון מס` 38), התשס""ט-2009",102,אישור החוק,2009-07-20T00:00:00,18:08,1,1,1,32,0,0,1,49,8,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_300907.pdf,663.0,ועדת המדע והטכנולוגיה
12493,18,327680,8,318427,"חוק בתי המשפט תיקון מס` 42 והוראת שעה (תיקון מס` 2) , התשס""ט-2009",102,אישור החוק,2009-07-20T00:00:00,18:12,1,1,1,38,1,0,1,49,10,4,Unknown,,https://fs.knesset.gov.il//18/law/18_lsr_300957.pdf,657.0,"ועדת החוקה, חוק ומשפט"
