vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
34222,24,2159547,9,2159448,"חוק חומרי נפץ (תיקון מס` 4 ? הוראת שעה) (תיקון מס` 2), התשפ""א-2021 ",102,אישור החוק,2021-06-29T00:00:00,22:13,1,1,1,48,13,0,1,36,5,4,Unknown,,https://fs.knesset.gov.il//24/law/24_lsr_602958.pdf,2218.0,ועדת החוץ והביטחון
34279,24,2159548,31,2159670,"חוק הביטוח הלאומי (תיקון מס` 225 והוראת שעה), התשפ""א-2021",102,אישור החוק,2021-07-01T00:00:00,13:08,1,1,1,35,0,0,1,37,55,4,Unknown,,https://fs.knesset.gov.il//24/law/24_lsr_603272.pdf,2216.0,ועדת הכספים
34315,24,2159548,30,2159447,"חוק סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (תיקון מס` 8), התשפ""א-2021 ",102,אישור החוק,2021-07-01T00:00:00,13:57,1,1,1,27,5,0,1,37,91,4,Unknown,,https://fs.knesset.gov.il//24/law/24_lsr_603271.pdf,2220.0,"ועדת החוקה, חוק ומשפט"
34326,24,2159730,16,2159671,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס` 6) (הפיכה להוראת קבע), התשפ""א-2021",102,אישור החוק,2021-07-06T00:00:00,07:12,1,1,1,35,0,0,1,38,9,4,Unknown,,https://fs.knesset.gov.il//24/law/24_lsr_603555.pdf,2216.0,ועדת הכספים
34483,24,2159731,4,999,,102,אישור החוק,2021-07-07T00:00:00,04:40,1,1,1,60,54,0,1,39,155,4,Unknown,,,,
