vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
18621,19,480003,3,480036,הצעת חוק-יסוד: תקציב המדינה לשנים 2009 עד 2012 (הוראות מיוחדות) (הוראת שעה) (תיקון מס` 2),102,אישור החוק,2013-03-19T00:00:00,17:47,1,1,1,56,10,15,1,17,7,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301538.pdf,846.0,ועדת הכספים
18627,19,480003,6,480037,"הצעת חוק הרבנות הראשית לישראל (הארכת כהונה של הרבנים הראשיים לישראל) (הוראת שעה), התשע""ג-2013 ",102,אישור החוק,2013-03-19T00:00:00,18:41,1,1,1,62,5,0,1,17,13,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301539.pdf,859.0,הוועדה המיוחדת לדיון בהצעת חוק הרבנות הראשית לישראל
18699,19,481053,9,480871,"חוק המאבק בתופעת השכרות (הוראת שעה ותיקון חקיקה) (תיקון), התשע""ג-2013 ",102,אישור החוק,2013-04-29T00:00:00,20:58,1,1,1,35,11,0,1,22,13,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301545.pdf,848.0,ועדת הפנים והגנת הסביבה
18701,19,481053,10,480877,"חוק לתיקון פקודת הרוקחים (מס` 20) (תיקון מס` 2 - הוראת שעה), התשע""ג-2013",102,אישור החוק,2013-04-29T00:00:00,21:09,1,1,1,45,0,0,1,22,15,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301550.pdf,852.0,"ועדת העבודה, הרווחה והבריאות"
18709,19,481053,11,481311,"הצעת חוק סדר הדין הפלילי (עצור החשוד בעבירת ביטחון) (הוראת שעה) (תיקון מס` 3) (הארכת תוקף), התשע""ג-2013 ",102,אישור החוק,2013-04-29T00:00:00,21:29,1,1,1,32,9,1,1,22,23,4,Unknown,,,,
18711,19,481053,12,480875,"חוק שירות ביטחון (הוראת שעה) (תיקון מס` 15), התשע""ג-2013 ",102,אישור החוק,2013-04-29T00:00:00,21:36,1,1,1,24,3,0,1,22,25,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301548.pdf,847.0,ועדת החוץ והביטחון
18719,19,481396,5,480872,"חוק פיקוח אלקטרוני על משוחררים בערובה ומשוחררים על-תנאי ממאסר (הוראת שעה) (תיקון מס` 3), התשע""ג-2013 ",102,אישור החוק,2013-04-30T00:00:00,17:36,1,1,1,18,0,0,1,23,3,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301546.pdf,855.0,"ועדת החוקה, חוק ומשפט"
18749,19,481637,5,481405,"חוק מיסוי מקרקעין (שבח ורכישה) (תיקון מס` 75 והוראת שעה), התשע""ג-2013",102,אישור החוק,2013-05-06T00:00:00,19:04,1,1,1,20,0,0,1,25,7,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301553.pdf,846.0,ועדת הכספים
18783,19,482216,9,481952,"חוק ההוצאה לפועל (תיקון מס` 29) (תיקון מס` 3), התשע""ג-2013",102,אישור החוק,2013-05-13T00:00:00,20:36,1,1,1,52,0,0,1,28,10,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301557.pdf,855.0,"ועדת החוקה, חוק ומשפט"
18790,19,482542,6,480873,"חוק הרשויות המקומיות (בחירות) (הוראת שעה), התשע""ג-2013 ",102,אישור החוק,2013-05-20T00:00:00,17:57,1,1,1,79,0,0,1,29,6,4,Unknown,,https://fs.knesset.gov.il//19/law/19_lsr_301547.pdf,848.0,ועדת הפנים והגנת הסביבה
