vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
33664,23,2147840,24,2085870,"חוק לתיקון פקודת הכלבת (מס` 6), התשפ""א-2020",102,אישור החוק,2020-11-11T00:00:00,15:54,1,1,1,22,0,0,1,100,7,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_589278.pdf,2150,ועדת הכלכלה
33679,23,2147840,42,2146893,"חוק סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (תיקון מס` 3), התשפ""א-2020",102,אישור החוק,2020-11-11T00:00:00,22:11,1,1,1,25,0,0,1,100,22,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_588896.pdf,2148,"ועדת החוקה, חוק ומשפט"
33695,23,2148378,22,2147788,"חוק הרשויות המקומיות (בחירות) (תיקון מס` 52 - הוראת שעה - נגיף הקורונה החדש), התשפ""א-2020",102,אישור החוק,2020-11-18T00:00:00,14:20,1,1,1,19,0,0,1,103,7,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_589929.pdf,2154,ועדת הפנים והגנת הסביבה
33697,23,2148378,40,2147317,"חוק התכנית לסיוע כלכלי (נגיף הקורונה החדש) (הוראת שעה) (תיקון מס` 3), התשפ""א-2020",102,אישור החוק,2020-11-18T00:00:00,15:57,1,1,1,20,0,0,1,103,9,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_589930.pdf,2147,"ועדת העבודה, הרווחה והבריאות"
33716,23,2148868,7,2149706,"הצעת חוק לתיקון פקודת מס הכנסה (מס` 256), התש""ף-2020 ",102,אישור החוק,2020-11-23T00:00:00,19:01,1,1,1,77,1,0,1,104,5,4,Unknown,,,,
33719,23,2148868,12,2146049,"חוק הגנת הצרכן (תיקון מס` 61), התשפ""א-2020",102,אישור החוק,2020-11-23T00:00:00,20:26,1,1,1,49,0,0,1,104,8,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_590500.pdf,2150,ועדת הכלכלה
33721,23,2148868,13,2148548,"חוק לביטול העדכון של שכר חברי הכנסת בשנת 2021 (הוראת שעה), התשפ""א-2020",102,אישור החוק,2020-11-23T00:00:00,20:55,1,1,1,36,0,0,1,104,10,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_590494.pdf,2152,ועדת הכנסת
33738,23,2148871,48,2086225,"חוק חוזה הביטוח (תיקון מס` 11), התשפ""א-2020",102,אישור החוק,2020-11-25T00:00:00,16:54,1,1,1,13,0,0,1,106,12,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_591228.pdf,2139,ועדת הכספים
33759,23,2149333,14,2143628,"חוק מקורות אנרגיה (תיקון מס` 2), התשפ""א-2020 ",102,אישור החוק,2020-11-30T00:00:00,21:01,1,1,1,11,0,0,1,107,11,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_591405.pdf,2150,ועדת הכלכלה
33793,23,2150100,7,2143991,"חוק רשות הספנות והנמלים (תיקון מס` 7), התשפ""א-2020",102,אישור החוק,2020-12-07T00:00:00,18:31,1,1,1,35,5,0,1,110,8,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592033.pdf,2139,ועדת הכספים
