,mk_individual_id,mk_individual_name_eng,mk_individual_first_name_eng
36,948,Touma Sliman,Aida  
37,949,Gabbay,Avi
38,950,Haskel,Sharren Miriam
39,951,Forer,Oded
40,952,Cohen Paran,Yael
41,953,Ohana,Amir
42,954,Guetta,Yigal 
43,955,Glick,Yehuda Joshua
44,956,Malinovsky,Yulia
45,957,Malkieli,Michael 
46,958,Azbarga,Joumah
47,959,Alkharumi,Saeed
48,960,Saida,Dan
49,961,Hijazi,Ibrahim 
50,962,Saad,Saleh
51,963,Fadida,Leah
52,964,Atauna,Youssef 
53,968,Younis,Wael
54,970,Azoulay,Yinon
55,971,Abu Rahmoun,Neven
56,972,Mark,Osnat Hila
57,973,Seyoum,Fentahun
58,974,Barkat,Nir
59,975,Nissenkorn,Avi
60,976,Katz,Ofir
61,977,Sofer,Ofir
62,978,Farkash Hacohen,Orit
63,979,Froman,Orly
64,980,Barbivay ,Orna
65,981,Ginzburg,Eitan
66,982,Schuster,Alon
67,983,Avidar,Eli
68,984,Cohen,Elihu
69,985,Shihadeh,Mtanes
70,986,Zamir,Asaf
71,987,Kallner,Ariel
72,988,Gantz,Benjamin
73,989,Ashkenazi,Gavriel
74,990,Yevarkan, Desta Gadi
75,991,Yazbak,Heba
76,992,Atia,Etty Hava
77,993,Rousso,Tal
78,994,Sova,Evgeny
79,995,Segalovitz,Yoav
80,996,Tesler,Yaakov
81,997,Hendel,Yoaz
82,998,Lahav Hertzanu,Yorai
83,999,Shay,Izhar 
84,1000,Tropper,Chili 
85,1001,Pindrus,Yitzhak Ze'ev
86,1002,Golan,May
87,1003,Biton ,Michael Mordechai 
88,1004,Shir Segman,Michal
89,1005,Haimovich,Miki
90,1006,Cohen,Meirav
91,1007,Abbas,Mansour
92,1008,Arbel ,Moshe
93,1009,Roll,Idan
94,1010,Dayan,Uzi
95,1011,Karhi,Shlomo
96,1012,Yankelevitch,Omer
97,1013,Cassif,Ofer
98,1014,Silman,Idit
99,1016,Mulla,Fateen
0,1017,Hauser,Zvi
1,1018,Shitrit,Kathrin
2,1019,Barak,Keren
3,1020,Kamal-Mreeh,Gadeer
4,1021,Peretz,Rafael
5,1022,Ben Barak,Ram
6,1023,Shefa,Ram
7,1024,Kushnir,Alex
8,1025,Asakla,Jaber
9,1026,Taha,Waleed
10,1027,Golan,Yair
11,1028,Ifraimov ,Mark
12,1029,Abutbul,Moshe
13,1030,Kahana,Matan
14,1031,Abu Shahadeh,Samy
15,1032,Khatib Yassin,Iman
16,1033,Kozhinov,Andrey
17,1034,Saleh ,Sondos
18,1035,Avitan,Yaakov
19,1036,Wunsh,Michal
20,1037,Kabla,Einav
21,1038,Friedman,Tehila
22,1039,Busso,Uriel
23,1040,Shay Vazan,Hila 
24,1041,Hasid,Eliyahu
25,1042,Baruchi,Eliyahu
26,1043,Taieb,Yosef
27,1044,Halevi,Amit
28,1045,Vaturi,Nissim
29,1046,Stern,Shevah
30,1047,Yogev,Matti
31,1048,Ron Ben-Moshe,Yael
32,1049,Beliak,Vladimir 
33,1050,Turpaz,Moshe 
34,1052,Wasserman Lande,Ruth 
35,1053,Knafo,Anat 
36,1054,Orbach,Nir
37,1055,Biton,Haim
38,1056,Ben Gvir,Itamar
39,1057,Ghanaim,Mazen
40,1059,Distel Atbaryan,Galit
41,1060,Woldiger,Michal Miriam
42,1061,Katz,Ron
43,1062,Moatti,Emilie Haya
44,1063,Maoz,Avi
45,1064,Mara'ana,Ibtisam
46,1065,Kara,Abir
47,1066,Kariv,Gilad
48,1067,Rothman,Simcha
49,1068,Rayten Marom,Efrat
50,1069,Rinawie Zoabi,Ghaida
51,1070,Chikli,Amichai
52,1071,Shpak,Nira
53,1072,Bardach Yalov,Elina
54,1073,Tal,Alon
55,1074,Itzhak Halevy,Meir
56,1075,Magen Telem,Limor 
57,1076,Mazarsky,Tatiana
58,1077,Mari',Mufid
59,1078,Pinto Kadosh,Shirly
60,1079,Fridman,Yasmin
61,1080,Shain ,Yossi 
62,1081,Lasky,Gaby
63,1082,Lazimi,Naama
64,1083,Kalfon,Yomtob
65,1084,Bezek,Inbar
66,1085,Davidson,Simon
67,1086,Salalha,Ali
68,1087,Roffe Ofir,Sharon
69,1088,Buskila,Mishel
70,1089,Starkmann,Orna
71,1090,Tal,Ohad
72,1091,Sarfatti Harcavi,Matti
73,1092,Eisenkot,Gadi
74,1093,Alhwashla,Waleed
75,1094,Biton,Debbie
76,1095,Bismuth,Boaz
77,1096,Eliyahu,Amichay
78,1097,Bezalel,Avraham Benayahu
79,1098,Gotliv,Tally
80,1099,Goldknop,Yitshak 
81,1100,Dallal,Eli
82,1101,Danino,Shalom
83,1102,Wasserlauf,Issac Shimon
84,1103,Hujeirat,Yasir
85,1104,Cohen,Almog
86,1105,Milwidsky,Hanoch Dov
87,1106,Nir,Sharon
88,1107,Solomon,Moshe
89,1108,Sonn Har Melech,Limor
90,1109,Saada,Moshe
91,1110,Foghel,Tzvika
92,1111,Revivo,Eliyahu
93,1112,Shiri,Naor
94,1113,Dermer,Ron
95,1114,Kroizer,Yitzhak 
96,1115,Mashriki,Yonatan 
97,1116,Illouz,Dan 
98,1117,Roth,Moshe 
99,1118,Meron, Shelly Tal 
0,1119,Malul,Erez 
1,1120,Moshiashvili,Simon 
2,1121,Sukkot,Tzvi Yedidia
3,1122,Melaku,Tsega 
4,1123,Shkalim,Osher 
5,1124,Passal,Moshe 
6,1125,Guetta,Sasson Sassi 
7,1126,Buaron,Avichay Avraham
8,1127,Levi,Yaron
