kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
30077,גלנט יואב,23,942,הליכוד,1,30077,Yoav,Gallant,Yoav Gallant,0
32037,אריאל קלנר,23,942,הליכוד,1,32037,Ariel,Kallner,Ariel Kallner,0
12948,ציפי חוטובלי,23,942,הליכוד,1,12948,Tzipi,Hotovely,Tzipi Hotovely,0
12951,יריב לוין,23,942,הליכוד,1,12951,Yariv,Levin,Yariv Levin,0
12959,מירי מרים רגב,23,942,הליכוד,1,12959,Miri Miriam ,Regev,Miri Miriam  Regev,0
23558,דוד ביטן,23,942,הליכוד,1,23558,David,Bitan,David Bitan,0
32032,חוה אתי עטייה,23,942,הליכוד,1,32032,Etty Hava,Atia,Etty Hava Atia,0
23564,דוד אמסלם,23,942,הליכוד,1,23564,David,Amsalem,David Amsalem,0
32024,פטין מולא,23,942,הליכוד,1,32024,Fateen,Mulla,Fateen Mulla,0
32022,אופיר כץ,23,942,הליכוד,1,32022,Ofir,Katz,Ofir Katz,0
32016,דסטה גדי יברקן,23,942,הליכוד,1,32016, Desta Gadi,Yevarkan, Desta Gadi Yevarkan,0
32038,שלמה קרעי,23,942,הליכוד,1,32038,Shlomo,Karhi,Shlomo Karhi,0
32010,עמית הלוי,23,942,הליכוד,1,32010,Amit,Halevi,Amit Halevi,0
32005,מאי גולן,23,942,הליכוד,1,32005,May,Golan,May Golan,0
32004,ניר ברקת,23,942,הליכוד,1,32004,Nir,Barkat,Nir Barkat,0
32003,קרן ברק,23,942,הליכוד,1,32003,Keren,Barak,Keren Barak,0
30057,יואב קיש,23,942,הליכוד,1,30057,Yoav,Kisch,Yoav Kisch,0
30058,מכלוף מיקי זוהר,23,942,הליכוד,1,30058,Makhluf Miki,Zohar,Makhluf Miki Zohar,0
30081,טלי פלוסקוב,23,942,הליכוד,1,30081,Tali,Ploskov,Tali Ploskov,0
30082,יפעת שאשא ביטון,23,942,הליכוד,1,30082,Yifat,Shasha Biton,Yifat Shasha Biton,0
30083,אלי כהן,23,942,הליכוד,1,30083,Eli,Cohen,Eli Cohen,0
30305,שרן מרים השכל,23,942,הליכוד,1,30305,Sharren Miriam,Haskel,Sharren Miriam Haskel,0
30369,אמיר אוחנה,23,942,הליכוד,1,30369,Amir,Ohana,Amir Ohana,0
32008,עוזי דיין,23,942,הליכוד,1,32008,Uzi,Dayan,Uzi Dayan,0
12937,אופיר אקוניס,23,942,הליכוד,1,12937,Ofir,Akunis,Ofir Akunis,0
31948,אוסנת הילה מארק,23,942,הליכוד,1,31948,Osnat Hila,Mark,Osnat Hila Mark,0
4397,זאב אלקין,23,942,הליכוד,1,4397,Zeev,Elkin,Zeev Elkin,0
32043,קטי קטרין שטרית,23,942,הליכוד,1,32043,Kathrin,Shitrit,Kathrin Shitrit,0
32632,מטי יוגב,23,942,הליכוד,1,32632,Matti,Yogev,Matti Yogev,0
965,בנימין נתניהו,23,942,הליכוד,1,965,Benjamin,Netanyahu,Benjamin Netanyahu,1
32045,מיכל שיר סגמן,23,942,הליכוד,1,32045,Michal,Shir Segman,Michal Shir Segman,0
477,יובל שטייניץ,23,942,הליכוד,1,477,Yuval,Steinitz,Yuval Steinitz,0
532,יולי יואל אדלשטיין,23,942,הליכוד,1,532,Yuli Yoel,Edelstein,Yuli Yoel Edelstein,0
1027,גדעון סער,23,942,הליכוד,1,1027,Gideon,Sa'ar,Gideon Sa'ar,0
1037,גלעד ארדן,23,942,הליכוד,1,1037,Gilad,Erdan,Gilad Erdan,0
1025,גילה גמליאל,23,942,הליכוד,1,1025,Gila,Gamliel,Gila Gamliel,0
468,ישראל כץ,23,942,הליכוד,1,468,Israel,Katz,Israel Katz,0
467,צחי הנגבי,23,942,הליכוד,1,467,Tzachi,Hanegbi,Tzachi Hanegbi,0
32631,שבח שטרן,23,942,הליכוד,1,32631,Shevah,Stern,Shevah Stern,0
32623,ניסים ואטורי,23,942,הליכוד,1,32623,Nissim,Vaturi,Nissim Vaturi,0
4395,אבי דיכטר,23,942,הליכוד,1,4395,Avi,Dicter,Avi Dicter,0
475,איוב קרא,23,942,הליכוד,1,475,Ayoob,Kara,Ayoob Kara,0
556,חיים כץ,23,942,הליכוד,1,556,Haim,Katz,Haim Katz,0
32334,אימאן ח`טיב יאסין,23,943,הרשימה המשותפת,0,32334,Iman,Khatib Yassin,Iman Khatib Yassin,0
31722,סעיד אלחרומי,23,943,הרשימה המשותפת,0,31722,Saeed,Alkharumi,Saeed Alkharumi,0
32218,ג`אבר עסאקלה,23,943,הרשימה המשותפת,0,32218,Jaber,Asakla,Jaber Asakla,0
30070,אוסאמה סעדי,23,943,הרשימה המשותפת,0,30070,Osama,Saadi,Osama Saadi,0
30069,יוסף ג`בארין,23,943,הרשימה המשותפת,0,30069,Yousef,Jabareen,Yousef Jabareen,0
30067,עאידה תומא סלימאן,23,943,הרשימה המשותפת,0,30067,Aida  ,Touma Sliman,Aida   Touma Sliman,0
30066,איימן עודה,23,943,הרשימה המשותפת,0,30066,Ayman,Odeh,Ayman Odeh,1
560,אחמד טיבי,23,943,הרשימה המשותפת,0,560,Ahmad,Tibi,Ahmad Tibi,0
32042,אנטאנס שחאדה,23,943,הרשימה המשותפת,0,32042,Mtanes,Shihadeh,Mtanes Shihadeh,0
32219,סמי אבו שחאדה,23,943,הרשימה המשותפת,0,32219,Samy,Abu Shahadeh,Samy Abu Shahadeh,0
32333,סונדוס סאלח,23,943,הרשימה המשותפת,0,32333,Sondos,Saleh ,Sondos Saleh ,0
32017,היבה יזבק,23,943,הרשימה המשותפת,0,32017,Heba,Yazbak,Heba Yazbak,0
32021,עופר כסיף,23,943,הרשימה המשותפת,0,32021,Ofer,Cassif,Ofer Cassif,0
32221,ווליד טאהא,23,943,הרשימה המשותפת,0,32221,Waleed,Taha,Waleed Taha,0
32031,מנסור עבאס,23,943,הרשימה המשותפת,0,32031,Mansour,Abbas,Mansour Abbas,0
1057,ישראל אייכלר,23,944,יהדות התורה,1,1057,Israel,Eichler,Israel Eichler,0
32454,ברוכי אליהו,23,944,יהדות התורה,1,32454,Eliyahu,Baruchi,Eliyahu Baruchi,0
32453,אליהו חסיד,23,944,יהדות התורה,1,32453,Eliyahu,Hasid,Eliyahu Hasid,0
32033,פינדרוס יצחק,23,944,יהדות התורה,1,32033,Yitzhak Ze'ev,Pindrus,Yitzhak Ze'ev Pindrus,0
563,מאיר פרוש,23,944,יהדות התורה,1,563,Meir,Porush,Meir Porush,0
32014,יעקב טסלר,23,944,יהדות התורה,1,32014,Yaakov,Tesler,Yaakov Tesler,0
11835,אורי מקלב,23,944,יהדות התורה,1,11835,Uri,Maklev,Uri Maklev,0
526,משה גפני,23,944,יהדות התורה,1,526,Moshe,Gafni,Moshe Gafni,0
528,יעקב ליצמן,23,944,יהדות התורה,1,528,Yakov,Litzman,Yakov Litzman,1
23641,יעקב אשר,23,944,יהדות התורה,1,23641,Yaakov ,Asher,Yaakov  Asher,0
31997,אלי אבידר,23,945,ישראל ביתנו,0,31997,Eli,Avidar,Eli Avidar,0
32028,יבגני סובה,23,945,ישראל ביתנו,0,32028,Evgeny,Sova,Evgeny Sova,0
427,אביגדור ליברמן,23,945,ישראל ביתנו,0,427,Avigdor,Liberman,Avigdor Liberman,1
32209,אלכס קושניר,23,945,ישראל ביתנו,0,32209,Alex,Kushnir,Alex Kushnir,0
23560,יוליה מלינובסקי קונין,23,945,ישראל ביתנו,0,23560,Yulia,Malinovsky,Yulia Malinovsky,0
12938,חמד עמאר,23,945,ישראל ביתנו,0,12938,Hamad,Amar,Hamad Amar,0
30309,עודד פורר,23,945,ישראל ביתנו,0,30309,Oded,Forer,Oded Forer,0
32642,משה טור פז,23,946,כחול לבן,0,32642,Moshe ,Turpaz,Moshe  Turpaz,0
23591,אלעזר שטרן,23,946,כחול לבן,0,23591,Elazar,Stern,Elazar Stern,0
32025,ע`דיר כמאל מריח,23,946,כחול לבן,0,32025,Gadeer,Kamal-Mreeh,Gadeer Kamal-Mreeh,0
32026,אבי ניסנקורן,23,946,כחול לבן,1,32026,Avi,Nissenkorn,Avi Nissenkorn,0
32027,יואב סגלוביץ`,23,946,כחול לבן,0,32027,Yoav,Segalovitz,Yoav Segalovitz,0
32441,קאבלה עינב,23,946,כחול לבן,1,32441,Einav,Kabla,Einav Kabla,0
32442,פרידמן תהלה,23,946,כחול לבן,1,32442,Tehila,Friedman,Tehila Friedman,0
32046,רם שפע,23,946,כחול לבן,1,32046,Ram,Shefa,Ram Shefa,0
32443,וזאן הילה,23,946,כחול לבן,1,32443,Hila ,Shay Vazan,Hila  Shay Vazan,0
32034,אורלי פרומן,23,946,כחול לבן,0,32034,Orly,Froman,Orly Froman,0
23594,יאיר לפיד,23,946,כחול לבן,0,23594,Yair,Lapid,Yair Lapid,1
32036,אורית פרקש הכהן,23,946,כחול לבן,1,32036,Orit,Farkash Hacohen,Orit Farkash Hacohen,0
32643,ולדימיר בליאק,23,946,כחול לבן,0,32643,Vladimir ,Beliak,Vladimir  Beliak,0
32039,עידן רול,23,946,כחול לבן,0,32039,Idan,Roll,Idan Roll,0
32041,אלון שוסטר,23,946,כחול לבן,1,32041,Alon,Schuster,Alon Schuster,0
32635,יעל רון בן משה,23,946,כחול לבן,1,32635,Yael,Ron Ben-Moshe,Yael Ron Ben-Moshe,0
32044,יזהר שי,23,946,כחול לבן,1,32044,Izhar ,Shay,Izhar  Shay,0
12963,משה יעלון,23,946,כחול לבן,0,12963,Moshe,Ya`alon,Moshe Ya`alon,0
32649,רות וסרמן לנדה,23,946,כחול לבן,1,32649,Ruth ,Wasserman Lande,Ruth  Wasserman Lande,0
32020,מירב כהן,23,946,כחול לבן,1,32020,Meirav,Cohen,Meirav Cohen,0
31999,גבי אשכנזי,23,946,כחול לבן,1,31999,Gavriel,Ashkenazi,Gavriel Ashkenazi,0
32000,מיכאל מרדכי ביטון,23,946,כחול לבן,1,32000,Michael Mordechai ,Biton ,Michael Mordechai  Biton ,0
32001,רם בן ברק,23,946,כחול לבן,0,32001,Ram,Ben Barak,Ram Ben Barak,0
32002,אורנה ברביבאי,23,946,כחול לבן,0,32002,Orna,Barbivay ,Orna Barbivay ,0
32335,אנדרי קוז`ינוב,23,946,כחול לבן,0,32335,Andrey,Kozhinov,Andrey Kozhinov,0
32440,וונש מיכל,23,946,כחול לבן,1,32440,Michal,Wunsh,Michal Wunsh,0
32006,איתן גינזבורג,23,946,כחול לבן,1,32006,Eitan,Ginzburg,Eitan Ginzburg,0
32007,בנימין גנץ,23,946,כחול לבן,1,32007,Benjamin,Gantz,Benjamin Gantz,1
23600,עפר שלח,23,946,כחול לבן,0,23600,Ofer,Shelah,Ofer Shelah,0
32009,צבי האוזר,23,946,כחול לבן,1,32009,Zvi,Hauser,Zvi Hauser,0
23639,בועז טופורובסקי,23,946,כחול לבן,0,23639,Boaz,Toporovsky,Boaz Toporovsky,0
32011,יועז הנדל,23,946,כחול לבן,1,32011,Yoaz,Hendel,Yoaz Hendel,1
32012,אסף זמיר,23,946,כחול לבן,1,32012,Asaf,Zamir,Asaf Zamir,0
32013,מיקי חיימוביץ`,23,946,כחול לבן,1,32013,Miki,Haimovich,Miki Haimovich,0
23632,מיקי לוי,23,946,כחול לבן,0,23632,Mickey,Levy,Mickey Levy,0
32015,חילי טרופר,23,946,כחול לבן,1,32015,Chili ,Tropper,Chili  Tropper,0
23631,קארין אלהרר,23,946,כחול לבן,0,23631,Karine,Elharrar,Karine Elharrar,0
23601,יואל רזבוזוב,23,946,כחול לבן,0,23601,Yoel,Razvozov,Yoel Razvozov,0
32018,עומר ינקלביץ`,23,946,כחול לבן,1,32018,Omer,Yankelevitch,Omer Yankelevitch,0
23635,פנינה תמנו,23,946,כחול לבן,1,23635,Pnina,Tameno,Pnina Tameno,0
23597,מאיר כהן,23,946,כחול לבן,0,23597,Meir,Cohen,Meir Cohen,0
32465,טייב יוסף,23,947,"ש""ס",1,32465,Yosef,Taieb,Yosef Taieb,0
32220,משה אבוטבול,23,947,"ש""ס",1,32220,Moshe,Abutbul,Moshe Abutbul,0
32439,בוסו אוריאל,23,947,"ש""ס",1,32439,Uriel,Busso,Uriel Busso,0
31998,משה ארבל,23,947,"ש""ס",1,31998,Moshe,Arbel ,Moshe Arbel ,0
498,משולם נהרי,23,947,"ש""ס",1,498,Meshulam,Nahari,Meshulam Nahari,0
580,יצחק כהן,23,947,"ש""ס",1,580,Yitzhak,Cohen,Yitzhak Cohen,0
1056,יעקב מרגי,23,947,"ש""ס",1,1056,Yakov,Margi,Yakov Margi,0
31851,ינון אזולאי,23,947,"ש""ס",1,31851,Yinon,Azoulay,Yinon Azoulay,0
30573,מיכאל מלכיאלי,23,947,"ש""ס",1,30573,Michael ,Malkieli,Michael  Malkieli,0
2291,אריה מכלוף דרעי,23,947,"ש""ס",1,2291,Aryeh Machluf,Deri,Aryeh Machluf Deri,1
28513,יואב בן צור,23,947,"ש""ס",1,28513,Yoav,Ben Tzur,Yoav Ben Tzur,0
32208,מתן כהנא,23,948,ימינה,0,32208,Matan,Kahana,Matan Kahana,0
23511,נפתלי בנט,23,948,ימינה,0,23511,Naftali,Bennett,Naftali Bennett,1
23512,אילת שקד,23,948,ימינה,0,23512,Ayelet,Shaked,Ayelet Shaked,0
30055,בצלאל סמוטריץ`,23,948,ימינה,0,30055,Bezalel,Smotrich,Bezalel Smotrich,1
32029,אופיר סופר,23,948,ימינה,0,32029,Ofir,Sofer,Ofir Sofer,0
32035,רפי פרץ,23,948,ימינה,1,32035,Rafael,Peretz,Rafael Peretz,1
23565,מרב מיכאלי,23,949,העבודה-גשר-מרצ,0,23565,Merav,Michaeli,Merav Michaeli,0
32211,יאיר גולן,23,949,העבודה-גשר-מרצ,0,32211,Yair,Golan,Yair Golan,0
23651,תמר זנדברג,23,949,העבודה-גשר-מרצ,0,23651,Tamar,Zandberg,Tamar Zandberg,0
12952,אורלי לוי אבקסיס,23,949,העבודה-גשר-מרצ,1,12952,Orly,Levi-Abekasis,Orly Levi-Abekasis,1
12947,ניצן הורוביץ,23,949,העבודה-גשר-מרצ,0,12947,Nitzan,Horowitz,Nitzan Horowitz,1
557,עמיר פרץ,23,949,העבודה-גשר-מרצ,1,557,Amir,Peretz,Amir Peretz,1
23568,איציק שמולי,23,949,העבודה-גשר-מרצ,1,23568,Itzik,Shmuli,Itzik Shmuli,0
32023,להב הרצנו יוראי,23,955,"יש עתיד - תל""ם",0,32023,Yorai,Lahav Hertzanu,Yorai Lahav Hertzanu,0
32664,כנפו ענת,23,955,"יש עתיד - תל""ם",0,32664,Anat ,Knafo,Anat  Knafo,0
503,אילן גילאון,23,959,מרצ,0,503,Ilan,Gilon,Ilan Gilon,0
