kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
31948,אוסנת הילה מארק,20,882,הליכוד,1,31948,Osnat Hila,Mark,Osnat Hila Mark,0
4397,זאב אלקין,20,882,הליכוד,1,4397,Zeev,Elkin,Zeev Elkin,0
23564,דוד אמסלם,20,882,הליכוד,1,23564,David,Amsalem,David Amsalem,0
12944,דני דנון,20,882,הליכוד,1,12944,Danny,Danon,Danny Danon,0
12937,אופיר אקוניס,20,882,הליכוד,1,12937,Ofir,Akunis,Ofir Akunis,0
965,בנימין נתניהו,20,882,הליכוד,1,965,Benjamin,Netanyahu,Benjamin Netanyahu,1
1025,גילה גמליאל,20,882,הליכוד,1,1025,Gila,Gamliel,Gila Gamliel,0
556,חיים כץ,20,882,הליכוד,1,556,Haim,Katz,Haim Katz,0
12959,מירי רגב,20,882,הליכוד,1,12959,Miri Miriam ,Regev,Miri Miriam  Regev,0
30059,ענת ברקו,20,882,הליכוד,1,30059,Anat,Berko,Anat Berko,0
30058,מכלוף מיקי זוהר,20,882,הליכוד,1,30058,Makhluf Miki,Zohar,Makhluf Miki Zohar,0
30057,יואב קיש,20,882,הליכוד,1,30057,Yoav,Kisch,Yoav Kisch,0
30056,ז`קי לוי,20,882,הליכוד,1,30056,Jackie,Levy,Jackie Levy,0
2178,זאב בנימין בגין,20,882,הליכוד,1,2178,Ze'ev Binyamin,Begin,Ze'ev Binyamin Begin,0
4395,אברהם דיכטר,20,882,הליכוד,1,4395,Avi,Dicter,Avi Dicter,0
1037,גלעד ארדן,20,882,הליכוד,1,1037,Gilad,Erdan,Gilad Erdan,0
532,יולי יואל אדלשטיין,20,882,הליכוד,1,532,Yuli Yoel,Edelstein,Yuli Yoel Edelstein,0
30094,נאוה בוקר,20,882,הליכוד,1,30094,Nava,Boker,Nava Boker,0
30096,נורית קורן,20,882,הליכוד,1,30096,Nurit,Koren,Nurit Koren,0
467,צחי הנגבי,20,882,הליכוד,1,467,Tzachi,Hanegbi,Tzachi Hanegbi,0
468,ישראל כץ,20,882,הליכוד,1,468,Israel,Katz,Israel Katz,0
30494,יהודה גליק,20,882,הליכוד,1,30494,Yehuda Joshua,Glick,Yehuda Joshua Glick,0
475,איוב קרא,20,882,הליכוד,1,475,Ayoob,Kara,Ayoob Kara,0
30095,אברהם נגוסה,20,882,הליכוד,1,30095,Avraham,Neguise,Avraham Neguise,0
477,יובל שטייניץ,20,882,הליכוד,1,477,Yuval,Steinitz,Yuval Steinitz,0
23558,דוד ביטן,20,882,הליכוד,1,23558,David,Bitan,David Bitan,0
479,סילבן שלום,20,882,הליכוד,1,479,Silvan,Shalom,Silvan Shalom,0
12951,יריב לוין,20,882,הליכוד,1,12951,Yariv,Levin,Yariv Levin,0
