kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
2291,אריה מכלוף דרעי,22,932,"ש""ס",-1,2291,Aryeh Machluf,Deri,Aryeh Machluf Deri,1
28513,יואב בן צור,22,932,"ש""ס",-1,28513,Yoav,Ben Tzur,Yoav Ben Tzur,0
498,משולם נהרי,22,932,"ש""ס",-1,498,Meshulam,Nahari,Meshulam Nahari,0
1056,יעקב מרגי,22,932,"ש""ס",-1,1056,Yakov,Margi,Yakov Margi,0
31998,משה ארבל,22,932,"ש""ס",-1,31998,Moshe,Arbel ,Moshe Arbel ,0
31851,ינון אזולאי,22,932,"ש""ס",-1,31851,Yinon,Azoulay,Yinon Azoulay,0
30573,מלכיאלי מיכאל,22,932,"ש""ס",-1,30573,Michael ,Malkieli,Michael  Malkieli,0
32220,משה אבוטבול,22,932,"ש""ס",-1,32220,Moshe,Abutbul,Moshe Abutbul,0
580,יצחק כהן,22,932,"ש""ס",-1,580,Yitzhak,Cohen,Yitzhak Cohen,0
12959,מירי מרים רגב,22,933,הליכוד,-1,12959,Miri Miriam ,Regev,Miri Miriam  Regev,0
32004,ניר ברקת,22,933,הליכוד,-1,32004,Nir,Barkat,Nir Barkat,0
23558,דוד ביטן,22,933,הליכוד,-1,23558,David,Bitan,David Bitan,0
23564,דוד אמסלם,22,933,הליכוד,-1,23564,David,Amsalem,David Amsalem,0
1025,גילה גמליאל,22,933,הליכוד,-1,1025,Gila,Gamliel,Gila Gamliel,0
30057,יואב קיש,22,933,הליכוד,-1,30057,Yoav,Kisch,Yoav Kisch,0
30305,שרן השכל,22,933,הליכוד,-1,30305,Sharren Miriam,Haskel,Sharren Miriam Haskel,0
30058,מכלוף מיקי זוהר,22,933,הליכוד,-1,30058,Makhluf Miki,Zohar,Makhluf Miki Zohar,0
30083,אלי אליהו כהן,22,933,הליכוד,-1,30083,Eli,Cohen,Eli Cohen,0
