kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
23643,באסל גטאס,19,802,"בל""ד",0
1061,ג`מאל זחאלקה,19,802,"בל""ד",0
12964,חנין זועבי,19,802,"בל""ד",0
23532,זבולון קלפה,19,803,הבית היהודי,1
23511,נפתלי בנט,19,803,הבית היהודי,1
23512,איילת שקד,19,803,הבית היהודי,1
23531,אלי בן-דהן,19,803,הבית היהודי,1
23533,אבי וורצמן,19,803,הבית היהודי,1
23534,מרדכי יוגב,19,803,הבית היהודי,1
23551,אורית סטרוק,19,803,הבית היהודי,1
23552,יוני שטבון,19,803,הבית היהודי,1
23553,שולי מועלם-רפאלי,19,803,הבית היהודי,1
1068,ניסן סלומינסקי,19,803,הבית היהודי,1
713,אורי אריאל,19,803,הבית היהודי,1
12956,אורי אורבך,19,803,הבית היהודי,1
6076,דוד רותם,19,804,הליכוד ביתנו,1
4413,יצחק אהרונוביץ`,19,804,הליכוד ביתנו,1
427,אביגדור ליברמן,19,804,הליכוד ביתנו,1
4397,זאב אלקין,19,804,הליכוד ביתנו,1
12937,אופיר אקוניס,19,804,הליכוד ביתנו,1
4412,רוברט אילטוב,19,804,הליכוד ביתנו,1
12938,חמד עמאר,19,804,הליכוד ביתנו,1
12960,כרמל שאמה-הכהן,19,804,הליכוד ביתנו,1
12950,פניה קירשנבאום,19,804,הליכוד ביתנו,1
12951,יריב לוין,19,804,הליכוד ביתנו,1
12952,אורלי לוי אבקסיס,19,804,הליכוד ביתנו,1
12959,מירי רגב,19,804,הליכוד ביתנו,1
1037,גלעד ארדן,19,804,הליכוד ביתנו,1
12963,משה יעלון,19,804,הליכוד ביתנו,1
23555,יאיר שמיר,19,804,הליכוד ביתנו,1
23556,משה זלמן פייגלין,19,804,הליכוד ביתנו,1
23557,שמעון אוחיון,19,804,הליכוד ביתנו,1
12948,ציפי חוטובלי,19,804,הליכוד ביתנו,1
1027,גדעון סער,19,804,הליכוד ביתנו,1
12944,דני דנון,19,804,הליכוד ביתנו,1
965,בנימין נתניהו,19,804,הליכוד ביתנו,1
448,סופה לנדבר,19,804,הליכוד ביתנו,1
467,צחי הנגבי,19,804,הליכוד ביתנו,1
468,ישראל כץ,19,804,הליכוד ביתנו,1
470,לימור לבנת,19,804,הליכוד ביתנו,1
471,עוזי לנדאו,19,804,הליכוד ביתנו,1
476,ראובן ריבלין,19,804,הליכוד ביתנו,1
1025,גילה גמליאל,19,804,הליכוד ביתנו,1
479,סילבן שלום,19,804,הליכוד ביתנו,1
532,יולי יואל אדלשטיין,19,804,הליכוד ביתנו,1
556,חיים כץ,19,804,הליכוד ביתנו,1
477,יובל שטייניץ,19,804,הליכוד ביתנו,1
4405,שלי יחימוביץ`,19,805,העבודה,0
23673,עמר בר-לב,19,805,העבודה,0
435,בנימין בן-אליעזר,19,805,העבודה,0
23571,משה מזרחי,19,805,העבודה,0
23570,מיכל בירן,19,805,העבודה,0
23569,מיקי רוזנטל,19,805,העבודה,0
