kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
31948,אוסנת הילה מארק,20,882,הליכוד,1
4397,זאב אלקין,20,882,הליכוד,1
23564,דוד אמסלם,20,882,הליכוד,1
12944,דני דנון,20,882,הליכוד,1
12937,אופיר אקוניס,20,882,הליכוד,1
965,בנימין נתניהו,20,882,הליכוד,1
1025,גילה גמליאל,20,882,הליכוד,1
556,חיים כץ,20,882,הליכוד,1
12959,מירי רגב,20,882,הליכוד,1
30059,ענת ברקו,20,882,הליכוד,1
30058,מכלוף מיקי זוהר,20,882,הליכוד,1
30057,יואב קיש,20,882,הליכוד,1
30056,ז`קי לוי,20,882,הליכוד,1
2178,זאב בנימין בגין,20,882,הליכוד,1
4395,אברהם דיכטר,20,882,הליכוד,1
1037,גלעד ארדן,20,882,הליכוד,1
532,יולי יואל אדלשטיין,20,882,הליכוד,1
30094,נאוה בוקר,20,882,הליכוד,1
30096,נורית קורן,20,882,הליכוד,1
467,צחי הנגבי,20,882,הליכוד,1
468,ישראל כץ,20,882,הליכוד,1
30494,יהודה גליק,20,882,הליכוד,1
475,איוב קרא,20,882,הליכוד,1
30095,אברהם נגוסה,20,882,הליכוד,1
477,יובל שטייניץ,20,882,הליכוד,1
23558,דוד ביטן,20,882,הליכוד,1
479,סילבן שלום,20,882,הליכוד,1
12951,יריב לוין,20,882,הליכוד,1
30305,שרן השכל,20,882,הליכוד,1
12963,משה יעלון,20,882,הליכוד,1
12948,ציפי חוטובלי,20,882,הליכוד,1
30098,אורן אסף חזן,20,882,הליכוד,1
30097,ירון מזוז,20,882,הליכוד,1
30369,אמיר אוחנה,20,882,הליכוד,1
23568,איציק שמולי,20,902,המחנה הציוני,0
23566,סתיו שפיר,20,902,המחנה הציוני,0
23565,מרב מיכאלי,20,902,המחנה הציוני,0
23567,אראל מרגלית,20,902,המחנה הציוני,0
23569,מיקי רוזנטל,20,902,המחנה הציוני,0
30061,רויטל סויד דהאן,20,902,המחנה הציוני,0
23571,משה מזרחי,20,902,המחנה הציוני,0
23573,יוסי יונה,20,902,המחנה הציוני,0
23673,עמר בר-לב,20,902,המחנה הציוני,0
30060,מנואל טרכטנברג,20,902,המחנה הציוני,0
30062,זוהיר בהלול,20,902,המחנה הציוני,0
30063,איתן ברושי,20,902,המחנה הציוני,0
30064,קסניה סבטלובה,20,902,המחנה הציוני,0
30065,איילת נחמיאס ורבין,20,902,המחנה הציוני,0
30099,אייל בן ראובן,20,902,המחנה הציוני,0
30357,כהן-פארן יעל,20,902,המחנה הציוני,0
31734,סאלח סעד,20,902,המחנה הציוני,0
31735,לאה פדידה,20,902,המחנה הציוני,0
23570,מיכל בירן,20,902,המחנה הציוני,0
12962,רוברט טיבייב,20,902,המחנה הציוני,0
23572,דניאל עטר,20,902,המחנה הציוני,0
557,עמיר פרץ,20,902,המחנה הציוני,0
