kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
23643,באסל גטאס,19,802,"בל""ד",0,23643,Basel,Ghattas,Basel Ghattas,0
1061,ג`מאל זחאלקה,19,802,"בל""ד",0,1061,Jamal,Zahalka,Jamal Zahalka,1
12964,חנין זועבי,19,802,"בל""ד",0,12964,Hanin,Zoabi,Hanin Zoabi,0
23532,זבולון קלפה,19,803,הבית היהודי,1,23532,Zvulun,Kalfa,Zvulun Kalfa,0
23511,נפתלי בנט,19,803,הבית היהודי,1,23511,Naftali,Bennett,Naftali Bennett,1
23512,איילת שקד,19,803,הבית היהודי,1,23512,Ayelet,Shaked,Ayelet Shaked,0
23531,אלי בן-דהן,19,803,הבית היהודי,1,23531,Eli,Ben Dahan,Eli Ben Dahan,0
23533,אבי וורצמן,19,803,הבית היהודי,1,23533,Avi,Wortzman,Avi Wortzman,0
23534,מרדכי יוגב,19,803,הבית היהודי,1,23534,Mordhay,Yogev,Mordhay Yogev,0
23551,אורית סטרוק,19,803,הבית היהודי,1,23551,Orit Malka,Strock,Orit Malka Strock,0
23552,יוני שטבון,19,803,הבית היהודי,1,23552,Yoni,Chetboun,Yoni Chetboun,0
23553,שולי מועלם-רפאלי,19,803,הבית היהודי,1,23553,Shuli,Moalem-Refaeli,Shuli Moalem-Refaeli,0
1068,ניסן סלומינסקי,19,803,הבית היהודי,1,1068,Nissan,Slomiansky,Nissan Slomiansky,0
713,אורי אריאל,19,803,הבית היהודי,1,713,Uri Yehuda,Ariel,Uri Yehuda Ariel,0
12956,אורי אורבך,19,803,הבית היהודי,1,12956,Uri,Orbach,Uri Orbach,0
6076,דוד רותם,19,804,הליכוד ביתנו,1,6076,David,Rotem,David Rotem,0
4413,יצחק אהרונוביץ`,19,804,הליכוד ביתנו,1,4413,Yitzhak,Aharonovitch,Yitzhak Aharonovitch,0
427,אביגדור ליברמן,19,804,הליכוד ביתנו,1,427,Avigdor,Liberman,Avigdor Liberman,0
4397,זאב אלקין,19,804,הליכוד ביתנו,1,4397,Zeev,Elkin,Zeev Elkin,0
12937,אופיר אקוניס,19,804,הליכוד ביתנו,1,12937,Ofir,Akunis,Ofir Akunis,0
4412,רוברט אילטוב,19,804,הליכוד ביתנו,1,4412,Robert,Ilatov,Robert Ilatov,0
12938,חמד עמאר,19,804,הליכוד ביתנו,1,12938,Hamad,Amar,Hamad Amar,0
12960,כרמל שאמה-הכהן,19,804,הליכוד ביתנו,1,12960,Carmel,Shama Hacohen,Carmel Shama Hacohen,0
12950,פניה קירשנבאום,19,804,הליכוד ביתנו,1,12950,Fania,Kirshenbaum,Fania Kirshenbaum,0
12951,יריב לוין,19,804,הליכוד ביתנו,1,12951,Yariv,Levin,Yariv Levin,0
12952,אורלי לוי אבקסיס,19,804,הליכוד ביתנו,1,12952,Orly,Levi-Abekasis,Orly Levi-Abekasis,0
