kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
30077,גלנט יואב,23,942,הליכוד,1
32037,אריאל קלנר,23,942,הליכוד,1
12948,ציפי חוטובלי,23,942,הליכוד,1
12951,יריב לוין,23,942,הליכוד,1
12959,מירי מרים רגב,23,942,הליכוד,1
23558,דוד ביטן,23,942,הליכוד,1
32032,חוה אתי עטייה,23,942,הליכוד,1
23564,דוד אמסלם,23,942,הליכוד,1
32024,פטין מולא,23,942,הליכוד,1
32022,אופיר כץ,23,942,הליכוד,1
32016,דסטה גדי יברקן,23,942,הליכוד,1
32038,שלמה קרעי,23,942,הליכוד,1
32010,עמית הלוי,23,942,הליכוד,1
32005,מאי גולן,23,942,הליכוד,1
32004,ניר ברקת,23,942,הליכוד,1
32003,קרן ברק,23,942,הליכוד,1
30057,יואב קיש,23,942,הליכוד,1
30058,מכלוף מיקי זוהר,23,942,הליכוד,1
30081,טלי פלוסקוב,23,942,הליכוד,1
30082,יפעת שאשא ביטון,23,942,הליכוד,1
30083,אלי כהן,23,942,הליכוד,1
30305,שרן מרים השכל,23,942,הליכוד,1
30369,אמיר אוחנה,23,942,הליכוד,1
32008,עוזי דיין,23,942,הליכוד,1
12937,אופיר אקוניס,23,942,הליכוד,1
31948,אוסנת הילה מארק,23,942,הליכוד,1
4397,זאב אלקין,23,942,הליכוד,1
32043,קטי קטרין שטרית,23,942,הליכוד,1
32632,מטי יוגב,23,942,הליכוד,1
965,בנימין נתניהו,23,942,הליכוד,1
32045,מיכל שיר סגמן,23,942,הליכוד,1
477,יובל שטייניץ,23,942,הליכוד,1
532,יולי יואל אדלשטיין,23,942,הליכוד,1
1027,גדעון סער,23,942,הליכוד,1
1037,גלעד ארדן,23,942,הליכוד,1
1025,גילה גמליאל,23,942,הליכוד,1
468,ישראל כץ,23,942,הליכוד,1
467,צחי הנגבי,23,942,הליכוד,1
32631,שבח שטרן,23,942,הליכוד,1
32623,ניסים ואטורי,23,942,הליכוד,1
4395,אבי דיכטר,23,942,הליכוד,1
475,איוב קרא,23,942,הליכוד,1
556,חיים כץ,23,942,הליכוד,1
32334,אימאן ח`טיב יאסין,23,943,הרשימה המשותפת,0
31722,סעיד אלחרומי,23,943,הרשימה המשותפת,0
32218,ג`אבר עסאקלה,23,943,הרשימה המשותפת,0
30070,אוסאמה סעדי,23,943,הרשימה המשותפת,0
30069,יוסף ג`בארין,23,943,הרשימה המשותפת,0
30067,עאידה תומא סלימאן,23,943,הרשימה המשותפת,0
30066,איימן עודה,23,943,הרשימה המשותפת,0
560,אחמד טיבי,23,943,הרשימה המשותפת,0
32042,אנטאנס שחאדה,23,943,הרשימה המשותפת,0
32219,סמי אבו שחאדה,23,943,הרשימה המשותפת,0
32333,סונדוס סאלח,23,943,הרשימה המשותפת,0
32017,היבה יזבק,23,943,הרשימה המשותפת,0
32021,עופר כסיף,23,943,הרשימה המשותפת,0
32221,ווליד טאהא,23,943,הרשימה המשותפת,0
32031,מנסור עבאס,23,943,הרשימה המשותפת,0
1057,ישראל אייכלר,23,944,יהדות התורה,1
32454,ברוכי אליהו,23,944,יהדות התורה,1
32453,אליהו חסיד,23,944,יהדות התורה,1
32033,פינדרוס יצחק,23,944,יהדות התורה,1
563,מאיר פרוש,23,944,יהדות התורה,1
32014,יעקב טסלר,23,944,יהדות התורה,1
11835,אורי מקלב,23,944,יהדות התורה,1
526,משה גפני,23,944,יהדות התורה,1
528,יעקב ליצמן,23,944,יהדות התורה,1
23641,יעקב אשר,23,944,יהדות התורה,1
31997,אלי אבידר,23,945,ישראל ביתנו,0
32028,יבגני סובה,23,945,ישראל ביתנו,0
427,אביגדור ליברמן,23,945,ישראל ביתנו,0
32209,אלכס קושניר,23,945,ישראל ביתנו,0
23560,יוליה מלינובסקי קונין,23,945,ישראל ביתנו,0
12938,חמד עמאר,23,945,ישראל ביתנו,0
30309,עודד פורר,23,945,ישראל ביתנו,0
32642,משה טור פז,23,946,כחול לבן,1
23591,אלעזר שטרן,23,946,כחול לבן,1
32025,ע`דיר כמאל מריח,23,946,כחול לבן,1
32026,אבי ניסנקורן,23,946,כחול לבן,1
32027,יואב סגלוביץ`,23,946,כחול לבן,1
32441,קאבלה עינב,23,946,כחול לבן,1
32442,פרידמן תהלה,23,946,כחול לבן,1
32046,רם שפע,23,946,כחול לבן,1
32443,וזאן הילה,23,946,כחול לבן,1
32034,אורלי פרומן,23,946,כחול לבן,1
23594,יאיר לפיד,23,946,כחול לבן,1
32036,אורית פרקש הכהן,23,946,כחול לבן,1
32643,ולדימיר בליאק,23,946,כחול לבן,1
32039,עידן רול,23,946,כחול לבן,1
32041,אלון שוסטר,23,946,כחול לבן,1
32635,יעל רון בן משה,23,946,כחול לבן,1
32044,יזהר שי,23,946,כחול לבן,1
12963,משה יעלון,23,946,כחול לבן,1
32649,רות וסרמן לנדה,23,946,כחול לבן,1
32020,מירב כהן,23,946,כחול לבן,1
31999,גבי אשכנזי,23,946,כחול לבן,1
32000,מיכאל מרדכי ביטון,23,946,כחול לבן,1
32001,רם בן ברק,23,946,כחול לבן,1
32002,אורנה ברביבאי,23,946,כחול לבן,1
32335,אנדרי קוז`ינוב,23,946,כחול לבן,1
32440,וונש מיכל,23,946,כחול לבן,1
32006,איתן גינזבורג,23,946,כחול לבן,1
32007,בנימין גנץ,23,946,כחול לבן,1
23600,עפר שלח,23,946,כחול לבן,1
32009,צבי האוזר,23,946,כחול לבן,1
23639,בועז טופורובסקי,23,946,כחול לבן,1
32011,יועז הנדל,23,946,כחול לבן,1
32012,אסף זמיר,23,946,כחול לבן,1
32013,מיקי חיימוביץ`,23,946,כחול לבן,1
23632,מיקי לוי,23,946,כחול לבן,1
32015,חילי טרופר,23,946,כחול לבן,1
23631,קארין אלהרר,23,946,כחול לבן,1
23601,יואל רזבוזוב,23,946,כחול לבן,1
32018,עומר ינקלביץ`,23,946,כחול לבן,1
23635,פנינה תמנו,23,946,כחול לבן,1
23597,מאיר כהן,23,946,כחול לבן,1
32465,טייב יוסף,23,947,"ש""ס",1
32220,משה אבוטבול,23,947,"ש""ס",1
32439,בוסו אוריאל,23,947,"ש""ס",1
31998,משה ארבל,23,947,"ש""ס",1
498,משולם נהרי,23,947,"ש""ס",1
580,יצחק כהן,23,947,"ש""ס",1
1056,יעקב מרגי,23,947,"ש""ס",1
31851,ינון אזולאי,23,947,"ש""ס",1
30573,מיכאל מלכיאלי,23,947,"ש""ס",1
