kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
532,יולי-יואל אדלשטיין,16,24,הליכוד,1
477,יובל שטייניץ,16,24,הליכוד,1
478,מאיר שטרית,16,24,הליכוד,1
479,סילבן שלום,16,24,הליכוד,1
482,אריאל שרון,16,24,הליכוד,1
1032,אהוד יתום,16,24,הליכוד,1
533,מרינה סולודקין,16,24,הליכוד,1
536,דוד לוי,16,24,הליכוד,1
2467,דוד מנע,16,24,הליכוד,1
556,חיים כץ,16,24,הליכוד,1
1041,נס לאה,16,24,הליכוד,1
1040,יחיאל חזן,16,24,הליכוד,1
1039,ענבל גבריאלי,16,24,הליכוד,1
1038,רוני בר-און,16,24,הליכוד,1
1037,גלעד ארדן,16,24,הליכוד,1
1036,מיכאל גורלובסקי,16,24,הליכוד,1
1035,עמרי שרון,16,24,הליכוד,1
1034,משה כחלון,16,24,הליכוד,1
965,בנימין נתניהו,16,24,הליכוד,1
1025,גילה גמליאל,16,24,הליכוד,1
1026,רוחמה אברהם,16,24,הליכוד,1
1027,גדעון סער,16,24,הליכוד,1
1028,דניאל בנלולו,16,24,הליכוד,1
1029,מיכאל רצון,16,24,הליכוד,1
1030,מגלי והבה,16,24,הליכוד,1
1031,יעקב אדרי,16,24,הליכוד,1
476,ראובן ריבלין,16,24,הליכוד,1
475,איוב קרא,16,24,הליכוד,1
1033,אלי אפללו,16,24,הליכוד,1
473,דני נוה,16,24,הליכוד,1
464,זאב בוים,16,24,הליכוד,1
462,מיכאל איתן,16,24,הליכוד,1
4035,פנינה רוזנבלום,16,24,הליכוד,1
465,נעמי בלומנטל,16,24,הליכוד,1
1064,אהוד אולמרט,16,24,הליכוד,1
466,אברהם הירשזון,16,24,הליכוד,1
474,גדעון עזרא,16,24,הליכוד,1
471,עוזי לנדאו,16,24,הליכוד,1
470,לימור לבנת,16,24,הליכוד,1
468,ישראל כץ,16,24,הליכוד,1
469,ציפי לבני,16,24,הליכוד,1
467,צחי הנגבי,16,24,הליכוד,1
1044,יצחק הרצוג,16,42,העבודה-מימד,0
1043,יולי תמיר,16,42,העבודה-מימד,0
2014,ר-אלב מג`אדלה,16,42,העבודה-מימד,0
1042,עמרם מצנע,16,42,העבודה-מימד,0
461,שלום שמחון,16,42,העבודה-מימד,0
459,אברהם-בייגה שוחט,16,42,העבודה-מימד,0
431,קולט אביטל,16,42,העבודה-מימד,0
455,אופיר פינס-פז,16,42,העבודה-מימד,0
454,אפרים סנה,16,42,העבודה-מימד,0
449,מיכאל מלכיאור,16,42,העבודה-מימד,0
445,איתן כבל,16,42,העבודה-מימד,0
865,אורית נוקד,16,42,העבודה-מימד,0
437,אלי בן - מנחם,16,42,העבודה-מימד,0
435,בנימין בן-אליעזר,16,42,העבודה-מימד,0
434,אברהם בורג,16,42,העבודה-מימד,0
433,דליה איציק,16,42,העבודה-מימד,0
458,חיים רמון,16,42,העבודה-מימד,0
456,שמעון פרס,16,42,העבודה-מימד,0
1045,דני יתום,16,42,העבודה-מימד,0
1067,מתן וילנאי,16,42,העבודה-מימד,0
1046,אילן שלגי,16,43,שינוי,1
1053,חמי דורון,16,43,שינוי,1
567,אליעזר זנדברג,16,43,שינוי,1
1052,אילן ליבוביץ,16,43,שינוי,1
1051,אתי לבני,16,43,שינוי,1
1054,יגאל יאסינוב,16,43,שינוי,1
513,ויקטור בריילובסקי,16,43,שינוי,1
1050,אהוד רצאבי,16,43,שינוי,1
518,יהודית נאות,16,43,שינוי,1
519,אברהם פורז,16,43,שינוי,1
520,יוסף יצחק פריצקי,16,43,שינוי,1
1049,אהרון רוני בריזון,16,43,שינוי,1
1048,רשף ארי חן,16,43,שינוי,1
1047,מלי פולישוק-בלוך,16,43,שינוי,1
3175,אראלה גולן,16,43,שינוי,1
517,לפיד יוסף,16,43,שינוי,1
483,דוד אזולאי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
1056,יעקב מרגי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
484,שלמה בניזרי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
487,נסים דהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
580,יצחק כהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
490,נסים זאב,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
494,אליהו ישי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
495,אמנון כהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
498,משולם נהרי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
488,יצחק וקנין,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
501,יאיר פרץ,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0
1055,אריה אלדד,16,45,האיחוד הלאומי-ישראל ביתנו,1
405,בנימין אלון,16,45,האיחוד הלאומי-ישראל ביתנו,1
713,אורי יהודה אריאל,16,45,האיחוד הלאומי-ישראל ביתנו,1
565,מיכאל נודלמן,16,45,האיחוד הלאומי-ישראל ביתנו,1
