kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
1055,אריה אלדד,18,742,האיחוד הלאומי,0
713,אורי אריאל,18,742,האיחוד הלאומי,0
12942,מיכאל בן-ארי,18,742,האיחוד הלאומי,0
12949,יעקב כץ,18,742,האיחוד הלאומי,0
521,זבולון אורלב,18,743,הבית היהודי,1
12956,אורי אורבך,18,743,הבית היהודי,1
12946,דניאל הרשקוביץ,18,743,הבית היהודי,1
12964,חנין זועבי,18,744,"בל""ד",0
1061,ג`מאל זחאלקה,18,744,"בל""ד",0
6235,סעיד נפאע,18,744,"בל""ד",0
12936,עפו אגבאריה,18,745,"חד""ש",0
4416,דב חנין,18,745,"חד""ש",0
4295,חנא סוייד,18,745,"חד""ש",0
540,מוחמד ברכה,18,745,"חד""ש",0
526,משה גפני,18,746,יהדות התורה,1
528,יעקב ליצמן,18,746,יהדות התורה,1
11835,אורי מקלב,18,746,יהדות התורה,1
12955,מנחם אליעזר מוזס,18,746,יהדות התורה,1
563,מאיר פרוש,18,746,יהדות התורה,1
1057,ישראל אייכלר,18,746,יהדות התורה,1
4412,רוברט אילטוב,18,747,ישראל ביתנו,1
4409,אלכס מילר,18,747,ישראל ביתנו,1
4408,ליה שמטוב,18,747,ישראל ביתנו,1
6076,רותם דוד,18,747,ישראל ביתנו,1
4413,יצחק אהרונוביץ`,18,747,ישראל ביתנו,1
4411,סטס מיסז`ניקוב,18,747,ישראל ביתנו,1
427,אביגדור ליברמן,18,747,ישראל ביתנו,1
12954,אנסטסיה מיכאלי,18,747,ישראל ביתנו,1
12938,חמד עמאר,18,747,ישראל ביתנו,1
12939,דניאל אילון,18,747,ישראל ביתנו,1
12950,פניה קירשנבאום,18,747,ישראל ביתנו,1
471,עוזי לנדאו,18,747,ישראל ביתנו,1
12952,אורלי לוי,18,747,ישראל ביתנו,1
12953,משה (מוץ) מטלון,18,747,ישראל ביתנו,1
448,סופה לנדבר,18,747,ישראל ביתנו,1
1041,לאה נס,18,748,הליכוד,1
12963,משה יעלון,18,748,הליכוד,1
12960,כרמל שאמה,18,748,הליכוד,1
12959,מירי רגב,18,748,הליכוד,1
2178,זאב בנימין בגין,18,748,הליכוד,1
12937,אופיר אקוניס,18,748,הליכוד,1
12957,יוסי פלד,18,748,הליכוד,1
4397,זאב אלקין,18,748,הליכוד,1
1037,גלעד ארדן,18,748,הליכוד,1
12951,יריב לוין,18,748,הליכוד,1
12948,ציפי חוטובלי,18,748,הליכוד,1
12944,דני דנון,18,748,הליכוד,1
12958,ציון פיניאן,18,748,הליכוד,1
1034,משה כחלון,18,748,הליכוד,1
22911,אללי אדמסו,18,748,הליכוד,1
479,סילבן שלום,18,748,הליכוד,1
477,יובל שטייניץ,18,748,הליכוד,1
1027,גדעון סער,18,748,הליכוד,1
556,חיים כץ,18,748,הליכוד,1
476,ראובן ריבלין,18,748,הליכוד,1
1025,גילה גמליאל,18,748,הליכוד,1
475,איוב קרא,18,748,הליכוד,1
470,לימור לבנת,18,748,הליכוד,1
965,בנימין נתניהו,18,748,הליכוד,1
468,ישראל כץ,18,748,הליכוד,1
546,דן מרידור,18,748,הליכוד,1
462,מיכאל איתן,18,748,הליכוד,1
532,יולי יואל אדלשטיין,18,748,הליכוד,1
504,זהבה גלאון,18,749,מרצ,0
503,אילן גילאון,18,749,מרצ,0
1065,חיים אורון,18,749,מרצ,0
12947,ניצן הורוביץ,18,749,מרצ,0
4405,שלי יחימוביץ`,18,750,העבודה,0
455,אופיר פינס-פז,18,750,העבודה,0
4407,אבישי ברוורמן,18,750,העבודה,0
461,שלום שמחון,18,750,העבודה,1
557,עמיר פרץ,18,750,העבודה,0
2226,אהוד ברק,18,750,העבודה,1
445,איתן כבל,18,750,העבודה,0
435,בנימין בן-אליעזר,18,750,העבודה,0
12966,דניאל בן-סימון,18,750,העבודה,0
1043,יולי תמיר,18,750,העבודה,0
14470,עינת וילף,18,750,העבודה,1
2014,גאלב מג`אדלה,18,750,העבודה,0
1067,מתן וילנאי,18,750,העבודה,1
865,אורית נוקד,18,750,העבודה,1
1044,יצחק הרצוג,18,750,העבודה,0
478,מאיר שטרית,18,751,קדימה,0
22151,אכרם חסון,18,751,קדימה,0
22091,יובל צלנר,18,751,קדימה,0
21431,דואן אברהם,18,751,קדימה,0
474,גדעון עזרא,18,751,קדימה,0
469,ציפי לבני,18,751,קדימה,0
12961,נחמן שי,18,751,קדימה,0
17630,נינו אבסדזה,18,751,קדימה,0
467,צחי הנגבי,18,751,קדימה,0
12962,רוברט טיבייב,18,751,קדימה,0
458,חיים רמון,18,751,קדימה,0
13830,יוליה שמאלוב-ברקוביץ,18,751,קדימה,0
12965,אורית זוארץ,18,751,קדימה,0
433,דליה איציק,18,751,קדימה,0
12943,אריה ביבי,18,751,קדימה,0
18990,דורון אביטל,18,751,קדימה,0
464,זאב בוים,18,751,קדימה,0
1031,יעקב אדרי,18,751,קדימה,0
4635,שי חרמש,18,751,קדימה,0
4401,עתניאל שנלר,18,751,קדימה,0
22811,אחמד דבאח,18,751,קדימה,0
4400,רונית תירוש,18,751,קדימה,0
4355,יואל חסון,18,751,קדימה,0
949,שאול מופז,18,751,קדימה,0
7736,יוחנן פלסנר,18,751,קדימה,0
533,מרינה סולודקין,18,751,קדימה,0
9315,שלמה מולה,18,751,קדימה,0
4395,אברהם דיכטר,18,751,קדימה,0
12935,רחל אדטו,18,751,קדימה,0
1038,רוני בר-און,18,751,קדימה,0
1026,רוחמה אברהם-בלילא,18,751,קדימה,0
4376,ישראל חסון,18,751,קדימה,0
1033,אלי אפללו,18,751,קדימה,0
1030,מגלי והבה,18,751,קדימה,0
12941,זאב בילסקי,18,751,קדימה,0
549,טלב אלסאנע,18,752,"רע""מ-תע""ל",0
12945,מסעוד גנאים,18,752,"רע""מ-תע""ל",0
560,אחמד טיבי,18,752,"רע""מ-תע""ל",0
4297,אברהים צרצור,18,752,"רע""מ-תע""ל",0
580,יצחק כהן,18,753,"ש""ס",1
1056,יעקב מרגי,18,753,"ש""ס",1
483,דוד אזולאי,18,753,"ש""ס",1
4418,חיים אמסלם,18,753,"ש""ס",1
4419,אברהם מיכאלי,18,753,"ש""ס",1
498,משולם נהרי,18,753,"ש""ס",1
495,אמנון כהן,18,753,"ש""ס",1
494,אליהו ישי,18,753,"ש""ס",1
490,נסים זאב,18,753,"ש""ס",1
488,יצחק וקנין,18,753,"ש""ס",1
4417,אריאל אטיאס,18,753,"ש""ס",1
10555,שנאן שכיב מוראד,18,762,העצמאות ,1
