kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
1031,אדרי יעקב,17,622,קדימה,1
478,מאיר שטרית,17,622,קדימה,1
493,דוד טל,17,622,קדימה,1
4635,שי חרמש,17,622,קדימה,1
533,מרינה סולודקין,17,622,קדימה,1
4400,רונית תירוש,17,622,קדימה,1
565,מיכאל נודלמן,17,622,קדימה,1
949,מופז שאול,17,622,קדימה,1
1026,רוחמה אברהם,17,622,קדימה,1
1030,מגלי והבה,17,622,קדימה,1
1033,אלי אפללו,17,622,קדימה,1
1038,רוני בר-און,17,622,קדימה,1
1064,אהוד אולמרט,17,622,קדימה,1
4402,אביגדור יצחקי,17,622,קדימה,1
4355,יואל חסון,17,622,קדימה,1
4375,עמירה דותן,17,622,קדימה,1
4395,אברהם דיכטר,17,622,קדימה,1
4397,זאב אלקין,17,622,קדימה,1
4398,מנחם בן-ששון,17,622,קדימה,1
4399,שלמה ברזניץ,17,622,קדימה,1
7035,יצחק בן-ישראל,17,622,קדימה,1
474,גדעון עזרא,17,622,קדימה,1
4401,עתניאל שנלר,17,622,קדימה,1
9315,שלמה נגוסה מולה,17,622,קדימה,1
433,דליה איציק,17,622,קדימה,1
7736,יוחנן פלסנר,17,622,קדימה,1
458,חיים רמון,17,622,קדימה,1
464,זאב בוים,17,622,קדימה,1
466,אברהם הירשזון,17,622,קדימה,1
467,צחי הנגבי,17,622,קדימה,1
456,שמעון פרס,17,622,קדימה,1
469,ציפי לבני,17,622,קדימה,1
454,אפרים סנה,17,624,עבודה,1
455,אופיר פינס-פז,17,624,עבודה,1
10555,שכיב מוראד שנאן,17,624,עבודה,1
557,עמיר פרץ,17,624,עבודה,1
4407,אבישי ברוורמן,17,624,עבודה,1
449,מיכאל מלכיאור,17,624,עבודה,1
1043,יולי תמיר,17,624,עבודה,1
1044,יצחק הרצוג,17,624,עבודה,1
1045,דני יתום,17,624,עבודה,1
4406,עמיחי אילון,17,624,עבודה,1
461,שמחון שלום,17,624,עבודה,1
865,אורית נוקד,17,624,עבודה,1
4405,שלי יחימוביץ,17,624,עבודה,1
1067,מתן וילנאי,17,624,עבודה,1
4404,נאדיה חילו,17,624,עבודה,1
2014,גאלב מג`אדלה,17,624,עבודה,1
4403,יורם מרציאנו,17,624,עבודה,1
445,איתן כבל,17,624,עבודה,1
435,בנימין בן-אליעזר,17,624,עבודה,1
431,קולט אביטל,17,624,עבודה,1
11235,לאון ליטינצקי,17,624,עבודה,1
6235,סעיד נפאע,17,626,"בל""ד",0
1062,ואסל טאהא,17,626,"בל""ד",0
1061,ג`מאל זחאלקה,17,626,"בל""ד",0
558,עזמי בשארה,17,626,"בל""ד",0
490,נסים זאב,17,628,"ש""ס",1
4417,אריאל אטיאס,17,628,"ש""ס",1
4418,חיים אמסלם,17,628,"ש""ס",1
4419,אברהם מיכאלי,17,628,"ש""ס",1
488,יצחק וקנין,17,628,"ש""ס",1
498,משולם נהרי,17,628,"ש""ס",1
483,דוד אזולאי,17,628,"ש""ס",1
494,אליהו ישי,17,628,"ש""ס",1
10355,מזור בהיינה,17,628,"ש""ס",1
580,יצחק כהן,17,628,"ש""ס",1
484,שלמה בניזרי,17,628,"ש""ס",1
495,אמנון כהן,17,628,"ש""ס",1
1056,יעקב מרגי,17,628,"ש""ס",1
4295,חנא סוייד,17,630,"חד""ש",0
4416,דב חנין,17,630,"חד""ש",0
540,מוחמד ברכה,17,630,"חד""ש",0
527,שמואל הלפרט,17,632,יהדות התורה,0
528,יעקב ליצמן,17,632,יהדות התורה,0
526,משה גפני,17,632,יהדות התורה,0
563,מאיר פרוש,17,632,יהדות התורה,0
4414,יעקב כהן,17,632,יהדות התורה,0
531,אברהם רביץ,17,632,יהדות התורה,0
11835,אורי מקלב,17,632,יהדות התורה,0
4304,שרה מרום שלו,17,634,גיל,1
4303,אלחנן גלזר,17,634,גיל,1
4302,יצחק גלנטי,17,634,גיל,1
4301,יצחק זיו,17,634,גיל,1
4299,יעקב בן-יזרי,17,634,גיל,1
4298,איתן רפי,17,634,גיל,1
4300,משה שרוני,17,634,גיל,1
549,טלב אלסאנע,17,636,"רע""מ-תע""ל",0
4415,עבאס זכור,17,636,"רע""מ-תע""ל",0
4297,אברהים צרצור,17,636,"רע""מ-תע""ל",0
560,אחמד טיבי,17,636,"רע""מ-תע""ל",0
4376,ישראל חסון,17,638,ישראל ביתנו,1
4410,יוסף שגל,17,638,ישראל ביתנו,1
430,יורי שטרן,17,638,ישראל ביתנו,1
427,אביגדור ליברמן,17,638,ישראל ביתנו,1
4411,סטס מיסז`ניקוב,17,638,ישראל ביתנו,1
6076,דוד רותם,17,638,ישראל ביתנו,1
4217,אסתרינה טרטמן,17,638,ישראל ביתנו,1
4408,ליה שמטוב,17,638,ישראל ביתנו,1
4413,יצחק אהרונוביץ,17,638,ישראל ביתנו,1
448,סופה לנדבר,17,638,ישראל ביתנו,1
4409,אלכס מילר,17,638,ישראל ביתנו,1
4412,רוברט אילטוב,17,638,ישראל ביתנו,1
12595,צביה גרינפלד,17,640,מרצ,0
2192,יוסי ביילין,17,640,מרצ,0
1065,חיים אורון,17,640,מרצ,0
