kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
1055,אריה אלדד,18,742,האיחוד הלאומי,0,1055,Arieh,Eldad,Arieh Eldad,0
713,אורי אריאל,18,742,האיחוד הלאומי,0,713,Uri Yehuda,Ariel,Uri Yehuda Ariel,0
12942,מיכאל בן-ארי,18,742,האיחוד הלאומי,0,12942,Michael,Ben Ari,Michael Ben Ari,0
12949,יעקב כץ,18,742,האיחוד הלאומי,0,12949,Yaakov (Katzeleh),Katz,Yaakov (Katzeleh) Katz,1
521,זבולון אורלב,18,743,הבית היהודי,1,521,Zevulun,Orlev,Zevulun Orlev,0
12956,אורי אורבך,18,743,הבית היהודי,1,12956,Uri,Orbach,Uri Orbach,0
12946,דניאל הרשקוביץ,18,743,הבית היהודי,1,12946,Daniel,Hershkowitz,Daniel Hershkowitz,1
12964,חנין זועבי,18,744,"בל""ד",0,12964,Hanin,Zoabi,Hanin Zoabi,0
1061,ג`מאל זחאלקה,18,744,"בל""ד",0,1061,Jamal,Zahalka,Jamal Zahalka,1
6235,סעיד נפאע,18,744,"בל""ד",0,6235,Said,Naffaa,Said Naffaa,0
12936,עפו אגבאריה,18,745,"חד""ש",0,12936,Afou,Agbaria,Afou Agbaria,0
4416,דב חנין,18,745,"חד""ש",0,4416,Dov,Khenin,Dov Khenin,0
4295,חנא סוייד,18,745,"חד""ש",0,4295,Hanna,Swaid,Hanna Swaid,0
540,מוחמד ברכה,18,745,"חד""ש",0,540,Mohammad,Barakeh,Mohammad Barakeh,1
526,משה גפני,18,746,יהדות התורה,1,526,Moshe,Gafni,Moshe Gafni,0
528,יעקב ליצמן,18,746,יהדות התורה,1,528,Yakov,Litzman,Yakov Litzman,1
11835,אורי מקלב,18,746,יהדות התורה,1,11835,Uri,Maklev,Uri Maklev,0
12955,מנחם אליעזר מוזס,18,746,יהדות התורה,1,12955,Menachem Eliezer,Moses,Menachem Eliezer Moses,0
563,מאיר פרוש,18,746,יהדות התורה,1,563,Meir,Porush,Meir Porush,0
