vote_id,kmmbr_id,kmmbr_name,vote_result,knesset_num,faction_id,faction_name,reason,modifier,remark,is_coalition
31685,427,אביגדור ליברמן,1,21,929.0,,,,,-1
31686,427,אביגדור ליברמן,1,21,929.0,,,,,-1
31735,427,אביגדור ליברמן,1,21,929.0,ישראל ביתנו,,,,-1
31736,427,אביגדור ליברמן,1,21,929.0,ישראל ביתנו,,,,-1
31710,467,צחי הנגבי,1,21,931.0,הליכוד,,,,-1
31734,467,צחי הנגבי,1,21,931.0,הליכוד,,,,-1
31735,467,צחי הנגבי,1,21,931.0,הליכוד,,,,-1
31736,467,צחי הנגבי,1,21,931.0,הליכוד,,,,-1
31766,467,צחי הנגבי,1,21,931.0,הליכוד,,,,-1
31685,468,ישראל כץ,1,21,931.0,,,,,-1
31686,468,ישראל כץ,1,21,931.0,,,,,-1
31734,468,ישראל כץ,1,21,931.0,הליכוד,,,,-1
31735,468,ישראל כץ,1,21,931.0,הליכוד,,,,-1
31736,468,ישראל כץ,1,21,931.0,הליכוד,,,,-1
31685,477,יובל שטייניץ,1,21,931.0,,,,,-1
31686,477,יובל שטייניץ,1,21,931.0,,,,,-1
31734,477,יובל שטייניץ,1,21,931.0,הליכוד,,,,-1
31735,477,יובל שטייניץ,1,21,931.0,הליכוד,,,,-1
31736,477,יובל שטייניץ,1,21,931.0,הליכוד,,,,-1
31749,477,יובל שטייניץ,1,21,931.0,הליכוד,,,,-1
31750,477,יובל שטייניץ,1,21,931.0,הליכוד,,,,-1
31685,498,משולם נהרי,1,21,918.0,,,,,-1
31686,498,משולם נהרי,1,21,918.0,,,,,-1
31710,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31734,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31735,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31736,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31766,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31774,498,משולם נהרי,1,21,918.0,"ש""ס",,,,-1
31685,503,אילן גילאון,3,21,926.0,,,,,-1
31686,503,אילן גילאון,1,21,926.0,,,,,-1
31734,503,אילן גילאון,2,21,926.0,מרצ,,,,-1
31735,503,אילן גילאון,2,21,926.0,מרצ,,,,-1
31736,503,אילן גילאון,2,21,926.0,מרצ,,,,-1
31685,526,משה גפני,1,21,928.0,,,,,-1
31686,526,משה גפני,1,21,928.0,,,,,-1
31694,526,משה גפני,1,21,928.0,יהדות התורה,,,,-1
