vote_id,kmmbr_id,kmmbr_name,vote_result,knesset_num,faction_id,faction_name,reason,modifier,remark
31825,000000467,צחי הנגבי,1,22,933,הליכוד,,,
31826,000000467,צחי הנגבי,1,22,933,הליכוד,,,
31828,000000467,צחי הנגבי,1,22,933,הליכוד,,,
31953,000000467,צחי הנגבי,1,22,933,הליכוד,,,
31954,000000467,צחי הנגבי,1,22,933,הליכוד,,,
31863,000000468,ישראל כץ,1,22,933,הליכוד,,,
31865,000000468,ישראל כץ,1,22,933,הליכוד,,,
31955,000000468,ישראל כץ,1,22,933,הליכוד,,,
31956,000000468,ישראל כץ,1,22,933,הליכוד,,,
31957,000000468,ישראל כץ,1,22,933,הליכוד,,,
31958,000000468,ישראל כץ,2,22,933,הליכוד,,,
31959,000000468,ישראל כץ,1,22,933,הליכוד,,,
31960,000000468,ישראל כץ,2,22,933,הליכוד,,,
31961,000000468,ישראל כץ,1,22,933,הליכוד,,,
31962,000000468,ישראל כץ,2,22,933,הליכוד,,,
31963,000000468,ישראל כץ,1,22,933,הליכוד,,,
31964,000000468,ישראל כץ,1,22,933,הליכוד,,,
31826,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31828,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31933,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31945,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31953,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31954,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31955,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31956,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31957,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31958,000000477,יובל שטייניץ,2,22,933,הליכוד,,,
31959,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31960,000000477,יובל שטייניץ,2,22,933,הליכוד,,,
31961,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31962,000000477,יובל שטייניץ,2,22,933,הליכוד,,,
31963,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31964,000000477,יובל שטייניץ,1,22,933,הליכוד,,,
31867,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31869,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31926,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31930,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31953,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31954,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31957,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31958,000000498,משולם נהרי,2,22,932,"ש""ס",,,
31959,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31960,000000498,משולם נהרי,2,22,932,"ש""ס",,,
31961,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31962,000000498,משולם נהרי,2,22,932,"ש""ס",,,
31963,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31964,000000498,משולם נהרי,1,22,932,"ש""ס",,,
31920,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31954,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31955,000000503,אילן גילאון,4,22,939,המחנה הדמוקרטי,,,
31956,000000503,אילן גילאון,4,22,939,המחנה הדמוקרטי,,,
31957,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31958,000000503,אילן גילאון,2,22,939,המחנה הדמוקרטי,,,
31959,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31960,000000503,אילן גילאון,2,22,939,המחנה הדמוקרטי,,,
31961,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31962,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31963,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31964,000000503,אילן גילאון,1,22,939,המחנה הדמוקרטי,,,
31944,000000526,משה גפני,1,22,936,יהדות התורה,,,
31945,000000526,משה גפני,1,22,936,יהדות התורה,,,
31953,000000526,משה גפני,1,22,936,יהדות התורה,,,
31954,000000526,משה גפני,1,22,936,יהדות התורה,,,
31955,000000526,משה גפני,1,22,936,יהדות התורה,,,
31956,000000526,משה גפני,1,22,936,יהדות התורה,,,
31957,000000526,משה גפני,1,22,936,יהדות התורה,,,
31958,000000526,משה גפני,2,22,936,יהדות התורה,,,
31959,000000526,משה גפני,1,22,936,יהדות התורה,,,
31960,000000526,משה גפני,2,22,936,יהדות התורה,,,
31961,000000526,משה גפני,1,22,936,יהדות התורה,,,
31962,000000526,משה גפני,2,22,936,יהדות התורה,,,
31963,000000526,משה גפני,1,22,936,יהדות התורה,,,
31964,000000526,משה גפני,1,22,936,יהדות התורה,,,
31829,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31830,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31831,000000528,ליצמן יעקב,1,22,936,יהדות התורה,5.0,Unknown,
31845,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31846,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31847,000000528,ליצמן יעקב,1,22,936,יהדות התורה,5.0,Unknown,
31848,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31944,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31945,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31953,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31954,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31955,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31956,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31957,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31958,000000528,יעקב ליצמן,2,22,936,יהדות התורה,,,
31959,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31960,000000528,יעקב ליצמן,2,22,936,יהדות התורה,,,
31961,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31962,000000528,יעקב ליצמן,2,22,936,יהדות התורה,,,
31963,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
31964,000000528,יעקב ליצמן,1,22,936,יהדות התורה,,,
